Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Octopart Url~String~Octopart Url~100|Field=OctopartID~String~OctopartID~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Tiny_Arduino.PrjPcb|ReportField=ProjectFullPath~C:\ProgramData\Altium\CircuitMaker {A24AC758-9961-40C0-AD0E-6BC4C9F8CCEB}\Projects\F6064670-1670-46E8-A28E-CA268CC5EBB5\1ec25f11-0269-4718-b098-19f0db2a4db3\Tiny_Arduino.PrjPcb|ReportField=Title~BOM_PartType For Project [Tiny_Arduino.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~13|ReportField=ReportTime~7:32:48 PM|ReportField=ReportDate~8/22/2018|ReportField=ReportDateTime~8/22/2018 7:32:48 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~A1|ReportField=Address2~A2|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~None|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~ATTINY85-1|ReportField=DrawnBy~Justin Beltran|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~Arduino_Nanite|ReportField=Revision~0.1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Arduino Nanite|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Tiny_Arduino.PrjPcb|ReportField=DataSourceFullPath~C:\ProgramData\Altium\CircuitMaker {A24AC758-9961-40C0-AD0E-6BC4C9F8CCEB}\Projects\F6064670-1670-46E8-A28E-CA268CC5EBB5\1ec25f11-0269-4718-b098-19f0db2a4db3\Tiny_Arduino.PrjPcb
AVX Interconnect / Elco 06033C104JAT2A|CAP CER 0.1UF 25V 5% X7R 0603|C1|CAPC1608X90X35LL15T15|CMP-19299432-4|06033C104JAT2A|https://octopart.com/06033c104jat2a-avx+interconnect+%2F+elco-195750|9a4d5345438d458a|1
Hirose ZX62R-B-5P|copper, gold, series, pos, Connectors and Adapters, Wire to Board, pitch, solder, receptacle, conn, connector, rows, ...|CN1|PCB-kuo5gykd7jvbo0o0jro3-1|ZX62R-B-5P|ZX62R-B-5P|http://octopart.com/zx62r-b-5p-hirose-44378731|d224198bdd290de3|1
Panasonic DB2J40700L|Sc, Schottky Barrier Diode / Single, For Rectification, Vr: 40v, If: 500ma|D1, D2|PCB-2omd1n8vppfni68elkoq-1|CMP-6124aa8bc752bee3-1|DB2J40700L|http://octopart.com/db2j40700l-panasonic-44401424|6124aa8bc752bee3|2
Vishay Semiconductor TLMG1100-GS08|LED 0603 ULTRA BRIGHT GRN 35MCD|DS1|VSH-TLMX1100|CMP-1544807-2|TLMG1100-GS08|https://octopart.com/tlmg1100-gs08-vishay-42333640|4d7f86f09dd192b8|1
Molex 90120-0764|2.54mm (.100") Pitch C-Grid III? Header, Single Row, Vertical, 3 Circuits, 0.38µm (15µ") Gold (Au) Selective Plating|J1, J2|PCB-mruwntkvy73mrw75dg9m-1|90120-0764|90120-0764|http://octopart.com/90120-0764-molex-655426|f5c93cc9d0ed2a0e|2
Panasonic / Panasonic ECG ERJ-3EKF1501V|Res Thick Film 0603 1.5K Ohm 1% 0.1W(1/10W) ??100ppm/??C Molded SMD Automotive T/R|R1|0603R|CMP-3653708-3|ERJ-3EKF1501V|http://octopart.com/erj-3ekf1501v-panasonic-55403651|a08c6acbe1697f4b|1
Panasonic ERJ-3GEYJ680V|RES SMD 68 OHM 5% 1/10W 0603|R2, R3|RESC1608X55X30LL15T15|CMP-3708367-2|ERJ-3GEYJ680V|https://octopart.com/erj-3geyj680v-panasonic-55422139|a4166e512dcb7bd1|2
Panasonic ERJ-3GEYJ391V|Thick Film Resistors - SMD 0603 390ohms 5% Tol|R4|RESC1608X55X30LL15T15|CMP-3653665-2|ERJ-3GEYJ391V|https://octopart.com/erj-3geyj391v-panasonic-55422096|bc667621359063a1|1
0 O|RCA Series 0603 0.1 W 0 O Jumper Surface Mount Thick Film Chip Resistor|R5|RESC1608X05N|CMP-31acf99032f6ee6b-1|RCA06030000ZSEA|https://octopart.com/rca06030000zsea-vishay-20325948|31acf99032f6ee6b|1
ATtiny85-20SU|8-bit AVR Microcontroller, 20MHz, 2.7-5.5V, 8K Flash, 512 Bytes EEPROM, 512 Bytes SRAM, Industrial Grade (-40°C to 85°C), 8-Lead SOIC, Pb-Free|U1|8S2_L|ATTINY85-20SU|ATTINY85-20SU|https://octopart.com/attiny85-20su-atmel-39581852|4ed985889323911e|1
